一	一	イチ／ひと(つ)
右	口,ナ	ウ・ユウ／みぎ
雨	雨	ウ／あめ
円	冂,土	エン／まる(い)
王	王	オウ／いみ: いちばん上の人・国の最高位（例: キング・くにのしゅ）
音	音	オン／おと
下	一,卜	カ・ゲ／した・くだ(る)
火	火	カ／ひ
花	艹,化	カ／はな
貝	貝	バイ／かい
学	子	ガク／まな(ぶ)
気	气,米	キ／いみ: いき・心のうごき（例: 胸のドキドキ・空のようす）
九	乙	キュウ・ク／ここの(つ)
休	亻,木	キュウ／やす(む)
玉	玉	ギョク／たま
金	金	キン・コン／かね
空	穴,工	クウ／そら
月	月	ゲツ・ガツ／つき
犬	犬	ケン／いぬ
見	目,儿	ケン／み(る)
五	二	ゴ／いつ(つ)
口	口	コウ／くち
校	木,交	コウ／いみ: まなびや・しらべる（例: 学ぶ建物・がっ○）
左	ナ,工	サ／ひだり
三	一	サン／みっ(つ)
山	山	サン／やま
子	子	シ／こ
四	囗,儿	シ／よっ(つ)
糸	糸	シ／いと
字	宀,子	ジ／いみ: もじ・しるし（例: ひらがな・カタカナ・ABC）
耳	耳	ジ／みみ
七	一,乚	シチ／なな(つ)
車	車	シャ／くるま
手	手	シュ／て
十	十	ジュウ／とお
出	山	シュツ／で(る)
女	女	ジョ／おんな
小	小	ショウ／ちい(さい)
上	一,卜	ジョウ／うえ
森	木,木,木	シン／もり
人	人	ジン・ニン／ひと
水	水	スイ／みず
正	止,一	セイ／ただ(しい)
生	生	セイ／い(きる)
青	主,月	セイ／あお
夕	夕	セキ／ゆう
石	石	セキ／いし
赤	赤	セキ／あか
千	十,丿	セン／ち
川	川	セン／かわ
先	儿,土,丿	セン／さき
早	日,十	ソウ／はや(い)
草	艹,早	ソウ／くさ
足	足	ソク／あし
村	木,寸	ソン／むら
大	大	ダイ／おお(きい)
男	田,力	ダン／おとこ
竹	竹	チク／たけ
中	丨,口	チュウ／なか
虫	虫	チュウ／むし
町	田,丁	チョウ／まち
天	大,一	テン／あめ・あま
田	田	デン／た
土	土	ド／つち
二	二	ニ／ふた(つ)
日	日	ニチ／ひ
入	入	ニュウ／い(る)
年	丿,干	ネン／とし
白	白	ハク／しろ
八	八	ハチ／やっ(つ)
百	白,一	ヒャク／いみ: 100・大きな数（例: 1のあとに0が2つ）
文	文	ブン／ふみ
木	木	モク／き
本	木,一	ホン／もと
名	夕,口	メイ／な
目	目	モク／め
立	立	リツ／た(つ)
力	力	リョク／ちから
林	木,木	リン／はやし
六	八,亠	ロク／むっ(つ)
