引	弓,丨	イン／ひ(く)
羽	羽	ウ／は・はね
雲	雨,云	ウン／くも
園	囗,袁	エン／その
遠	⻌,袁	エン／とお(い)
何	亻,可	カ／なに
科	禾,斗	カ／いみ: しごとや学問の分野（例: 国語・算数・りか）
夏	夂,頁	カ／なつ
家	宀,豕	カ／いえ
歌	可,可,欠	カ／うた
画	一,田,凵	ガ／いみ: 絵・線でかいたもの（例: 美術館にかざる作品）
回	囗,口	カイ／まわ(る)
会	人,云	カイ／あ(う)
海	氵,毎	カイ／うみ
絵	糸,会	エ・カイ／いみ: 色や形をかいた図（例: クレヨンの作品・水さい画）
外	夕,卜	ガイ／そと
角	角	カク／かど・つの
楽	幺,白,幺,木	ガク／たの(しい)
活	氵,舌	カツ／いみ: いきいき動く（例: クラブで〇動・元気にすごす）
間	門,日	カン／あいだ
丸	丶,九	ガン／まる(い)
岩	山,石	ガン／いわ
顔	頁,彦	ガン／かお
汽	氵,气	キ／いみ: 水蒸気（例: 蒸気で走る乗り物・やかんから出る湯気）
記	言,己	キ／いみ: しるす・かきとめる（例: ノートに書く・思い出をのこす）
帰	刂,𠂤,巾	キ／かえ(る)
弓	弓	キュウ／ゆみ
牛	牛	ギュウ／うし
魚	魚	ギョ／さかな
京	亠,口,小	キョウ／いみ: みやこ・大きな町（例: 都・とう〇）
強	弓,虫	キョウ／つよ(い)
教	孝,攵	キョウ／おし(える)
近	⻌,斤	キン／ちか(い)
兄	口,儿	ケイ／あに
形	开,彡	ケイ／かたち
計	言,十	ケイ／はか(る)
元	二,儿	ゲン／もと
言	言	ゲン／い(う)
原	厂,白,小	ゲン／はら
戸	戸	コ／と
古	十,口	コ／ふる(い)
午	𠂉,十	ゴ／いみ: 12時のあたり（例: しょう〇・ひるどき）
後	彳,幺,夂	ゴ／うし(ろ)
語	言,五,口	ゴ／かた(る)
工	工	コウ／いみ: 作る・しごと（例: ものづくり・〇事）
公	八,厶	コウ／いみ: みんなの・おおやけ（例: みんなで使う場所・〇園）
広	广,ム	コウ／ひろ(い)
交	亠,父	コウ／まじ(わる)
光	小,儿	コウ／ひかり
考	老,丂	コウ／かんが(える)
行	行	コウ／い(く)
高	高	コウ／たか(い)
黄	廿,由,八	コウ・オウ／き
合	人,口	ゴウ／あ(う)
谷	八,口	コク／たに
国	囗,玉	コク／くに
黒	里,灬	コク／くろ
今	人,丶	コン／いま
才	才	サイ／いみ: のうりょく・年齢（例: 3さい・〇のうがある人）
細	糸,田	サイ／ほそ(い)
作	亻,乍	サク／つく(る)
算	竹,目,廾	サン／いみ: 数を出す（例: たしざん・そろばん）
止	止	シ／と(まる)
市	亠,巾	シ／いち
矢	矢	シ／や
姉	女,市	シ／あね
思	田,心	シ／おも(う)
紙	糸,氏	シ／かみ
寺	土,寸	ジ／てら
自	自	ジ／みずか(ら)
時	日,寺	ジ／とき
室	宀,至	シツ／いみ: へや（例: きょう〇・お風呂のスペース）
社	礻,土	シャ／いみ: あつまり・神を祭る所（例: かい〇・神〇）
弱	弓,冫,弓,冫	ジャク／よわ(い)
首	首	シュ／くび
秋	禾,火	シュウ／あき
