悪	亜,心	アク／わる(い)
安	宀,女	アン／やす(い)
暗	日,音	アン／くら(い)
医	匚,矢	イ／いみ: 病気を治す人（例: ドクター・しん察する人）
委	禾,女	イ／いみ: まかせる・ゆだねる（例: いいんちょう・だいひょうにたのむ）
意	音,心	イ／考え・気持ち・こころざし
育	亠,厶,月	イク／そだ(つ)
員	口,貝	イン／いみ: メンバー・人数（例: クラスのひとり・委〇）
院	阝,完	イン／いみ: 大きな建物・施設（例: びょう〇・じ〇）
飲	食,欠	イン／の(む)
運	⻌,軍	ウン／はこ(ぶ)
泳	氵,永	エイ／およ(ぐ)
駅	馬,尺	エキ／いみ: 列車のとまる所（例: 改札のあるばしょ・しんかんせんがとまる）
央	大,冂	オウ／いみ: まんなか（例: 中〇・センター）
横	木,黄	オウ／よこ
屋	尸,至	オク／や
温	氵,日,皿	オン／あたた(かい)
化	亻,匕	カ／ば(ける)
荷	艹,何	カ／に
開	門,开	カイ／ひら(く)
界	田,介	カイ／いみ: 範囲・分野（例: せ〇・スポーツのぶんや）
階	阝,皆	カイ／いみ: だん・フロア（例: ビルの2か〇・きざはし）
寒	宀,共,冫	カン／さむ(い)
感	戌,口,心	カン／いみ: 心が動く・かんじる（例: 映画でなみだ・ありがとうの気持ち）
漢	氵,堇	カン／いみ: 中国の古い国・もじの呼び名（例: 古代中国の名前・〇字）
館	食,官	カン／いみ: 大きな建物（例: 図書〇・はくぶつ〇）
岸	山,厂,干	ガン／きし
起	走,己	キ／お(きる)
期	甘,八,月	キ／いみ: ある時間・くぎり（例: 夏休み〇間・しめきり）
客	宀,各	キャク／いみ: おきゃくさん（例: お店に来る人・ゲスト）
究	穴,九	キュウ／いみ: しらべきわめる（例: けん〇・なぜを追う）
急	刍,心	キュウ／いそ(ぐ)
級	糸,及	キュウ／いみ: クラス・ランク（例: 4年生のクラス・〇友）
宮	宀,呂	キュウ／みや
球	王,求	キュウ／たま
去	土,厶	キョ／さ(る)
橋	木,夭,口,冂,口	キョウ／はし
業	业,木	ギョウ／いみ: しごと・じゅ〇（例: お父さんの仕事・〇務）
曲	曲	キョク／ま(がる)
局	尸,口	キョク／いみ: 部署・場所（例: ゆうびん〇・テレビ〇）
銀	金,艮	ギン／いみ: 白くひかる金属（例: スプーン・お金になる金属）
区	匚,メ	ク／いみ: くぎられた場所（例: 東京の〇・地〇）
苦	艹,古	ク／くる(しい)
具	貝,八	グ／いみ: どうぐ（例: ハサミ・スコップ）
君	尹,口	クン／きみ
係	亻,系	ケイ／かか(る)
軽	車,又,土	ケイ／かる(い)
血	血	ケツ／ち
決	氵,夬	ケツ／き(める)
研	石,开	ケン／いみ: しらべきわめる（例: 〇究・じっけん）
県	目,𠃌	ケン／いみ: 都道府〇のひとつ（例: 東京の隣のけん・ちば〇）
庫	广,車	コ／いみ: 物をしまう所（例: ガレージ・倉〇）
湖	氵,胡	コ／みずうみ
向	口,丶	コウ／む(かう)
幸	土,䒑,十	コウ／さいわ(い)
港	氵,巷	コウ／みなと
号	口,丂	ゴウ／いみ: 数字や名前のしるし（例: 1〇車・暗〇）
根	木,艮	コン／ね
祭	示,癶,又	サイ／まつ(り)
皿	皿	さら／いみ: 食器・うつわ（例: ディッシュ・カレーをのせるもの）
仕	亻,士	シ／つか(える)
死	歹,匕	シ／いみ: いのちがなくなる（例: いきものの終わり）
使	亻,吏	シ／つか(う)
始	女,台	シ／はじ(める)
指	扌,旨	シ／ゆび
歯	止,凵,米	シ／は
詩	言,寺	シ／いみ: 言葉でつくった作品（例: ポエム・うた）
次	二,欠	ジ／つ(ぐ)
事	一,口,彐,亅	ジ／こと
持	扌,寺	ジ／も(つ)
式	弋,工	シキ／いみ: やり方・しき（例: 計算の〇・けっこん〇）
実	宀,夫	ジツ／み・みの(る)
写	冖,与	シャ／うつ(す)
者	耂,日	シャ／もの
主	丶,王	シュ／おも
守	宀,寸	シュ／まも(る)
取	耳,又	シュ／と(る)
酒	氵,酉	シュ／さけ
受	爫,冖,又	ジュ／う(ける)
州	川,丶	シュウ／いみ: しま・地域（例: 中〇・本〇）
拾	扌,合	シュウ／ひろ(う)
終	糸,冬	シュウ／お(わる)
習	羽,白	シュウ／なら(う)
集	隹,木	シュウ／あつ(まる)
住	亻,主	ジュウ／す(む)
重	千,里	ジュウ／おも(い)
