愛	爪,冖,心,夂	アイ／いみ: いつくしむ気持ち（例: 家族を大切に思う・ペットへの思いやり）
案	安,木	アン／いみ: 考え・くわだて（例: アイデア・〇内）
以	以	イ／いみ: 〜より・〜のうち（例: 〇上・〇下）
衣	衣	イ／ころも
位	亻,立	イ／くらい
茨	艹,次	ばら／いみ: とげのある植物・地名（例: ローズ・〇城県）
印	卩,爪	イン／しるし
英	艹,大,冂	エイ／いみ: すぐれる・国名（例: イギリス・〇雄）
栄	木,営	エイ／さか(える)
媛	女,爪,一,友	エン／ひめ
塩	土,監	エン／しお
岡	山,冂,𠆢,大	おか／いみ: 小さな山・地名（例: 高い丘・〇山県）
億	亻,意	オク／いみ: とても大きな数（例: 1万の1万倍・大ぜい）
加	力,口	カ／くわ(える)
果	田,木	カ／は(たす)
貨	化,貝	カ／いみ: しなもの・お金（例: かもつ・つう〇）
課	言,果	カ／いみ: 与えられた仕事や問題（例: 宿〇・〇題）
芽	艹,牙	ガ／め
賀	加,貝	ガ／いみ: いわう・しゅく〇（例: しんねんの〇状・年〇状）
改	己,攵	カイ／あらた(める)
械	木,戒	カイ／いみ: からくり・どうぐ（例: ロボット・きかい）
害	宀,丯,口	ガイ／いみ: そこなう・わるい（例: そん〇・わるさ）
街	行,土,土	ガイ／まち
各	夂,口	カク／おのおの
覚	学,見	カク／おぼ(える)
完	宀,元	カン／いみ: おわる・全部そろう（例: ぜん〇・〇成）
官	宀,丘	カン／いみ: 役人・公の仕事（例: けい〇・〇庁）
管	竹,官	カン／くだ
関	門,关	カン／せき
観	雚,見	カン／いみ: みる・ながめる（例: 〇光・〇客）
願	原,頁	ガン／ねが(う)
岐	山,支	キ／いみ: 分かれ道・〇阜県（例: わかれ道・地名）
希	巾,丿	キ／いみ: ねがう・少ない（例: のぞむ・〇望）
季	禾,子	キ／いみ: きせつ（例: 春夏秋冬・四〇）
旗	方,其	キ／はた
器	口,口,大,口,口	キ／うつわ
機	木,幺,幺,人,戈	キ／いみ: からくり・はたらき（例: 飛行〇・〇会）
議	言,義	ギ／いみ: 話し合い（例: 〇論・会〇）
求	水	キュウ／もと(める)
泣	氵,立	キュウ／な(く)
給	糸,合	キュウ／いみ: あたえる（例: 〇しょく・〇料）
挙	𭅁,手	キョ／あ(げる)
漁	氵,魚	ギョ／いみ: 魚をとる（例: 〇師・つりをする仕事）
共	廾,八	キョウ／とも
協	十,力,力,力	キョウ／いみ: ちからをあわせる（例: 〇力・チームワーク）
鏡	金,立,見	キョウ／かがみ
競	立,儿,立,儿	キョウ／きそ(う)
極	木,亟	キョク／きわ(める)
熊	能,灬	ユウ／くま
訓	言,川	クン／いみ: 教え・読み方（例: 〇練・読み〇）
軍	冖,車	グン／いみ: ぐんたい（例: 兵隊のあつまり・〇人）
郡	君,阝	グン／いみ: 行政の区分（例: 町や村のあつまり・地方の区分）
群	君,羊	グン／む(れる)
径	彳,又,土	ケイ／いみ: 細い道・差しわたし（例: 円の半〇・小道）
景	日,京	ケイ／いみ: けしき・ようす（例: 〇色・サマー〇色）
芸	艹,云	ゲイ／いみ: わざ・たくみ（例: 〇能・〇術）
欠	欠	ケツ／か(ける)
結	糸,吉	ケツ／むす(ぶ)
健	亻,建	ケン／すこ(やか)
験	馬,𠆢,口,人,人	ケン／いみ: 試す・しらべる（例: けい〇・じっ〇）
固	囗,古	コ／かた(い)
功	工,力	コウ／いみ: てがら・努力（例: せい〇・ろう〇）
好	女,子	コウ／す(き)
香	禾,日	コウ／かお(り)
候	亻,丨,丿,矢	コウ／いみ: そうろう・きこう（例: 天〇・気〇）
康	广,隶	コウ／いみ: 元気・健やか（例: けん〇・たっしゃ）
佐	亻,左	サ／いみ: 助ける・地名（例: たすける・〇賀県）
差	羊,工	サ／さ(す)
菜	艹,爫,木	サイ／な
最	曰,耳,又	サイ／もっと(も)
埼	土,大,可	さい／いみ: みさき・地名（例: 〇玉県）
