圧	厂,土	アツ／いみ: 押す力（例: タイヤをぐっと押す力・血の流れをはかる）
囲	囗,井	イ／かこ(む)
移	禾,多	イ／うつ(る)
因	囗,大	イン／いみ: もとの理由（例: げん〇・〇果）
永	水,丶	エイ／なが(い)
営	𭕄,冖,呂	エイ／いとな(む)
衛	行,韋	エイ／いみ: まもる（例: けいご・〇星）
易	日,勿	エキ／やさ(しい)
益	䒑,八,皿	エキ／いみ: ためになる・もうけ（例: 利〇・有〇）
液	氵,夜	エキ／いみ: ながれる物（例: ペットボトルの中身・水のような物）
演	氵,宀,由,八	エン／いみ: えんじる・行う（例: ステージの〇技・じょう〇）
応	广,心	オウ／こた(える)
往	彳,主	オウ／いみ: ゆく・もどる（例: 〇復・〇年）
桜	木,日,女	オウ／さくら
恩	因,心	オン／いみ: 受けた恵み（例: 親の〇・先生からの〇）
可	一,口	カ／いみ: できる・よい（例: 〇能・きょ〇）
仮	亻,反	カ／かり
価	亻,西	カ／あたい
河	氵,可	カ／かわ
過	⻌,冂,口	カ／す(ぎる)
快	忄,夬	カイ／こころよ(い)
解	角,刀,牛	カイ／と(く)
格	木,各	カク／いみ: がら・きまり（例: 性〇・合〇）
確	石,冖,隹	カク／たし(かめる)
額	客,頁	ガク／ひたい
刊	干,刂	カン／いみ: 印刷物を出す（例: 朝〇・週〇）
幹	十,日,十,干	カン／みき
慣	忄,毌,貝	カン／な(れる)
眼	目,艮	ガン／まなこ
紀	糸,己	キ／いみ: 記録・くわだて（例: 世〇・〇行文）
基	其,土	キ／もと
寄	宀,大,可	キ／よ(る)
規	夫,見	キ／いみ: きまり・基準（例: 〇則・〇律）
喜	士,口,䒑,口	キ／よろこ(ぶ)
技	扌,支	ギ／わざ
義	羊,我	ギ／いみ: ただしい道・意味（例: 〇務・正〇）
逆	⻌,屰	ギャク／さか(らう)
久	久	キュウ／ひさ(しい)
旧	旧	キュウ／いみ: ふるい・前（例: 〇式・〇友）
