異	田,共	イ／こと(なる)
遺	⻌,中,一,貝	イ／いみ: のこす・わすれる
映	日,大,冂	エイ／うつ(る)
延	廴,正	エン／の(びる)
沿	氵,八,口	エン／そ(う)
我	手,戈	ガ／われ
灰	厂,火	カイ／はい
拡	扌,広	カク／いみ: ひろげる
革	革	カク／かわ
閣	門,各	カク／いみ: 高い建物・政府
割	宀,丯,口,刂	カツ／わ(る)
株	木,朱	かぶ
干	干	カン／ほ(す)
看	手,目	カン／いみ: みる・見守る
簡	竹,間	カン／いみ: やさしい・てがみ
危	卩,厃	キ／あぶ(ない)
机	木,几	キ／つくえ
揮	扌,軍	キ／いみ: ふるう・指図する
貴	中,一,貝	キ／とうと(い)
吸	口,及	キュウ／す(う)
供	亻,共	キョウ／そな(える)
胸	月,勹,凶	キョウ／むね
郷	乡,皀,阝	キョウ／いみ: ふるさと
勤	廿,口,一,土,力	キン／つと(める)
筋	竹,月,力	キン／すじ
敬	苟,攵	ケイ／うやま(う)
警	敬,言	ケイ／いみ: いましめ・けいさつ
劇	虍,豕,刂	ゲキ／いみ: しばい・はげしい
激	氵,敫	ゲキ／はげ(しい)
絹	糸,肙	ケン／きぬ
権	木,雚	ケン／いみ: ちから・はたらき
憲	宀,丰,罒,心	ケン／いみ: おきて・きまり
源	氵,原	ゲン／みなもと
