圧	厂,土	アツ／いみ: 押す力
易	日,勿	エキ／やさ(しい)
益	䒑,八,皿	エキ／いみ: ためになる・もうけ
液	氵,夜	エキ／いみ: ながれる物
演	氵,宀,由,八	エン／いみ: えんじる・行う
応	广,心	オウ／こた(える)
往	彳,主	オウ／いみ: ゆく・もどる
桜	木,日,女	オウ／さくら
河	氵,可	カ／かわ
過	⻌,冂,口	カ／す(ぎる)
価	亻,西	カ／あたい
快	忄,夬	カイ／こころよ(い)
解	角,刀,牛	カイ／と(く)
格	木,各	カク／いみ: がら・きまり
確	石,冖,隹	カク／たし(かめる)
額	客,頁	ガク／ひたい
刊	干,刂	カン／いみ: 印刷物を出す
慣	忄,毌,貝	カン／な(れる)
眼	目,艮	ガン／まなこ
基	其,土	キ／もと
寄	宀,大,可	キ／よ(る)
規	夫,見	キ／いみ: きまり・基準
喜	士,口,䒑,口	キ／よろこ(ぶ)
技	扌,支	ギ／わざ
逆	⻌,屰	ギャク／さか(らう)
居	尸,古	キョ／い(る)
許	言,午	キョ／ゆる(す)
境	土,竟	キョウ／さかい
均	土,匀	キン／いみ: ならす・ひとしい
禁	林,示	キン／いみ: とめる・してはいけない
銅	金,同	ドウ／いみ: 赤茶色の金属
