愛	爪,冖,心,夂	アイ／いみ: いつくしむ気持ち
案	安,木	アン／いみ: 考え・くわだて
位	亻,立	イ／くらい
囲	囗,井	イ／かこ(む)
胃	田,月	イ／いみ: 食べ物を消化する内臓
印	卩,爪	イン／しるし
英	艹,大,冂	エイ／いみ: すぐれる・国名（イギリス）
栄	木,営	エイ／さか(える)
塩	土,監	エン／しお
億	亻,意	オク／いみ: とても大きな数
加	力,口	カ／くわ(える)
果	田,木	カ／は(たす)
貨	化,貝	カ／いみ: しなもの・お金
課	言,果	カ／いみ: 与えられた仕事や問題
芽	艹,牙	ガ／め
改	己,攵	カイ／あらた(める)
械	木,戒	カイ／いみ: からくり・道具
害	宀,丯,口	ガイ／いみ: そこなう・わるい
街	行,土,土	ガイ／まち
覚	学,見	カク／おぼ(える)
完	宀,元	カン／いみ: おわる・全部そろう
官	宀,𠂤	カン／いみ: 役人・公の役
管	竹,官	カン／くだ
関	門,关	カン／せき
観	雚,見	カン／いみ: みる
願	原,頁	ガン／ねが(う)
旗	方,其	キ／はた
器	口,口,大,口,口	キ／うつわ
機	木,𢆶,人,戈	キ／いみ: からくり・はたらき
議	言,義	ギ／いみ: はなしあい
泣	氵,立	キュウ／な(く)
給	糸,合	キュウ／いみ: あたえる
