悪	亜,心	アク／わる(い)
安	宀,女	アン／やす(い)
暗	日,音	アン／くら(い)
委	禾,女	イ／ゆだ(ねる)
育	亠,厶,月	イク／そだ(つ)
員	口,貝	イン／いみ: メンバー・人数（例: クラスの一人ひとり・チームのなかま）
院	阝,完	イン／いみ: 大きな建物・施設（例: びょう○・がく○・大きな門のある所）
飲	食,欠	イン／の(む)
運	⻌,軍	ウン／はこ(ぶ)
詠	言,永	エイ／よ(む)
泳	氵,永	エイ／およ(ぐ)
駅	馬,尺	エキ／いみ: 列車のとまる所（例: しんかんせんがとまる・改札のあるばしょ）
横	木,黄	オウ／よこ
屋	尸,至	オク／や
温	氵,日,皿	オン／あたた(かい)
荷	艹,何	カ／に
界	田,介	カイ／いみ: 範囲・分野（例: せ○・スポーツのぶんや・生物のな○）
階	阝,皆	カイ／いみ: だん・フロア（例: ビルの2か○・きざはし）
寒	宀,共,冫	カン／さむ(い)
館	食,官	カン／いみ: 大きな建物（例: 図書○・体育○・はくぶつ○）
岸	山,厂,干	ガン／きし
銀	金,艮	ギン／いみ: 白くひかる金属（例: スプーン・お金になる金属）
苦	艹,古	ク／くる(しい)
具	貝,八	グ／いみ: どうぐ（例: ハサミやのり・スコップ）
君	尹,口	クン／きみ
係	亻,系	ケイ／かか(る)
庫	广,車	コ／いみ: 物をしまう所（例: 大切な物をしまう倉・ガレージ）
湖	氵,胡	コ／みずうみ
港	氵,巷	コウ／みなと
向	口,丶	コウ／む(かう)
幸	土,䒑,十	コウ／さいわ(い)
