引	弓,丨	イン／ひ(く)
歌	可,可,欠	カ／うた
形	开,彡	ケイ／かたち
記	言,己	キ／いみ: しるす・かきとめる（例: ノートに書きとめる・思い出をのこす）
近	⻌,斤	キン／ちか(い)
計	言,十	ケイ／はか(る)
作	亻,乍	サク／つく(る)
社	礻,土	シャ／いみ: あつまり・神を祭る所（例: かいシャの建物・神様をまつるところ）
週	⻌,周	シュウ／いみ: 7日のひとくぎり（例: 月〜日のサイクル・カレンダーの一行）
親	立,木,見	シン／おや
組	糸,且	ソ／く(む)
楽	白,幺,幺,木	ガク／たの(しい)
教	孝,攵	キョウ／おし(える)
書	聿,曰	ショ／か(く)
店	广,占	テン／みせ
道	⻌,首	ドウ／みち
読	言,売	ドク／よ(む)
番	釆,田	バン／いみ: じゅん・見はり（例: クラスのとう○・じゅんばん）
聞	門,耳	ブン／き(く)
理	王,里	リ／いみ: ことわり・しらべる（例: 算数のすう○・実○の授業）
細	糸,田	サイ／ほそ(い)
紙	糸,氏	シ／かみ
線	糸,泉	セン／いみ: ほそい筋（例: 電車のレール・地図の道○）
絵	糸,会	エ・カイ／いみ: 色や形をかいた図（例: クレヨンの作品・水さい画・キャンバスのペイント）
